League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
England EFL League One,2023-03-28,15:45:00,26,Exeter City,Barnsley,3.0,3.3,2.37,1.04,11.5,1.27,3.4,1.91,1.8,3.05,1.32,5.5,1.11,1.68,2.05
England EFL League Two,2023-03-28,15:45:00,26,AFC Wimbledon,Walsall,2.75,3.0,2.75,1.09,8.0,1.49,2.45,2.45,1.5,4.33,1.2,8.5,1.06,1.95,1.83
England EFL League Two,2023-03-28,15:45:00,26,Crawley Town,Grimsby Town,3.2,3.3,2.3,1.05,10.0,1.33,3.25,1.95,1.8,3.6,1.28,7.0,1.09,1.8,1.95
England National League,2023-03-28,15:45:00,23,Gateshead,Dagenham & Redbridge,2.1,3.4,3.1,1.05,9.0,1.22,4.0,1.61,2.05,2.85,1.4,5.0,1.14,1.57,2.3
England National League,2023-03-28,15:45:00,24,Wealdstone,Oldham Athletic,2.3,3.25,2.87,1.06,8.0,1.28,3.5,1.8,1.83,3.25,1.3,5.5,1.12,1.7,2.1
England National League,2023-03-28,15:45:00,28,Boreham Wood,Torquay United,1.6,3.7,5.25,1.05,11.0,1.3,3.15,1.8,1.85,3.3,1.28,6.0,1.09,1.91,1.91
England National League,2023-03-28,15:45:00,28,Woking,Barnet,1.75,3.6,4.2,1.04,12.0,1.27,3.4,1.6,2.1,3.05,1.32,5.5,1.11,1.75,2.0
England National League,2023-03-28,15:45:00,32,Dorking Wanderers,Southend United,3.5,3.5,1.95,1.05,12.0,1.29,3.5,1.61,2.05,3.0,1.36,5.5,1.13,1.72,2.05
England National League,2023-03-28,15:45:00,38,Halifax Town,Aldershot Town,2.05,3.3,3.4,1.03,9.5,1.29,3.5,1.83,1.8,3.24,1.33,5.5,1.13,1.83,1.93
England National League,2023-03-28,15:45:00,38,Maidstone United,Bromley,3.2,3.3,2.15,1.05,11.5,1.28,3.5,1.8,1.83,3.25,1.3,5.5,1.11,1.68,2.1
England National League,2023-03-28,15:45:00,38,York City,Scunthorpe United,2.1,3.3,3.25,1.04,13.0,1.25,3.75,1.8,1.83,3.0,1.38,5.0,1.13,1.72,2.0
England National League,2023-03-28,15:45:00,41,Altrincham,Notts County,5.25,4.2,1.53,1.01,23.0,1.11,5.2,1.44,2.47,2.15,1.57,3.42,1.25,1.75,2.0
Mexico Ascenso MX,2023-03-28,20:05:00,14,Mineros de Zacatecas,Pumas Tabasco,1.95,3.3,3.75,1.08,7.0,1.38,2.9,2.15,1.65,4.0,1.22,7.0,1.08,1.95,1.8
USA USL Championship,2023-03-28,21:00:00,0,Tulsa Roughnecks,Pittsburgh Riverhounds,2.3,3.3,2.6,1.01,10.0,1.22,3.8,1.84,2.02,2.63,1.43,4.75,1.15,1.57,2.25
USA USL Championship,2023-03-28,21:00:00,0,Tulsa Roughnecks,Pittsburgh Riverhounds,2.3,3.3,2.6,1.01,10.0,1.22,3.8,1.84,2.02,2.63,1.43,4.75,1.15,1.57,2.25
Colombia Categoria Primera A,2023-03-28,21:15:00,10,Boyacá Chicó,La Equidad,1.6,3.1,7.0,1.1,5.8,1.5,2.49,2.5,1.5,4.4,1.17,8.5,1.04,2.2,1.6
Mexico Ascenso MX,2023-03-28,22:05:00,14,CA La Paz,Venados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
