League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Liga MX,2023-03-30,00:05:00,4,Querétaro,Cruz Azul,3.07,3.28,2.17,1.03,10.0,1.3,3.3,1.88,1.82,3.3,1.3,6.5,1.09,1.7,2.05
Mexico Ascenso MX,2023-03-30,00:05:00,14,Raya2,Dorados,1.67,3.4,4.57,1.06,8.0,1.33,3.25,1.89,1.72,3.4,1.3,6.5,1.1,1.91,1.8
Egypt Egyptian Premier League,2023-03-30,16:15:00,22,Ceramica Cleopatra,Al Mokawloon,2.47,2.75,3.22,1.1,7.0,1.48,2.45,2.4,1.5,4.5,1.18,10.5,1.05,2.05,1.72
Egypt Egyptian Premier League,2023-03-30,16:15:00,22,ENPPI,National Bank of Egypt,2.5,2.88,2.8,1.1,6.75,1.4,2.87,2.2,1.65,4.1,1.22,7.9,1.06,1.91,1.8
Egypt Egyptian Premier League,2023-03-30,16:15:00,22,Smouha SC,Ismaily SC,2.42,2.65,3.52,1.12,6.0,1.55,2.3,2.75,1.4,5.5,1.14,13.0,1.03,2.1,1.68
Argentina Prim B Nacional,2023-03-30,16:30:00,9,Nueva Chicago,Defensores Unidos,2.24,2.96,3.27,1.11,5.4,1.58,2.24,2.37,1.52,5.65,1.09,10.5,1.0,2.38,1.53
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Aldosivi,Tristán Suárez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Chacarita Juniors,Atlanta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Club Atlético Mitre,Racing Córdoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Chaco For Ever,Deportivo Riestra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Independiente Rivadavia,Ferro Carril Oeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Deportivo Maipú,Gimnasia Jujuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Villa Dálmine,Quilmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Deportivo Madryn,Brown de Adrogué,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-30,19:00:00,9,Atlético Rafaela,Estudiantes Caseros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2023-03-30,20:00:00,9,Defensa y Justicia,Vélez Sarsfield,2.45,2.87,2.75,1.08,6.5,1.43,2.62,2.3,1.53,4.2,1.19,8.75,1.06,1.95,1.72
Paraguay Division Profesional,2023-03-30,20:00:00,9,Libertad,General Caballero JLM,1.32,5.05,8.8,0.0,0.0,0.0,0.0,1.69,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia LFPB,2023-03-30,21:00:00,7,Blooming,Real Tomayapo,1.62,3.71,4.41,1.03,14.0,1.23,3.93,1.72,2.05,2.7,1.4,4.93,1.15,1.73,1.99
Bolivia LFPB,2023-03-30,21:00:00,7,Blooming,Real Tomayapo,1.62,3.71,4.41,1.03,14.0,1.23,3.93,1.72,2.05,2.7,1.4,4.93,1.15,1.73,1.99
Argentina Primera División,2023-03-30,21:30:00,9,Argentinos Juniors,Godoy Cruz,1.77,3.36,4.93,1.07,8.5,1.4,2.75,2.3,1.57,4.0,1.2,7.5,1.06,2.2,1.65
