League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Liga MX,2023-04-02,00:10:00,13,Atlas,Guadalajara,2.43,3.1,2.81,1.06,8.75,1.38,2.8,2.15,1.65,3.8,1.23,8.25,1.07,1.95,1.8
Japan J2 League,2023-04-02,01:00:00,7,Roasso Kumamoto,Tokushima Vortis,2.35,3.15,3.1,1.06,7.0,1.44,2.4,2.3,1.55,4.3,1.18,8.0,1.05,2.0,1.73
South Korea K League 2,2023-04-02,01:30:00,5,Sangju Sangmu,Gyeongnam,2.1,3.1,3.2,1.05,10.25,1.33,3.1,1.95,1.75,3.65,1.25,7.5,1.09,1.8,1.95
Australia A-League,2023-04-02,02:00:00,22,Melbourne City FC,Newcastle Jets FC,1.36,5.0,7.5,1.02,16.0,1.13,5.25,1.44,2.6,2.28,1.6,3.3,1.29,1.67,2.1
South Korea K League 1,2023-04-02,02:00:00,5,Jeju United,Ulsan,3.45,3.4,2.15,1.05,9.75,1.32,3.1,1.95,1.75,3.6,1.25,7.25,1.09,1.83,1.83
Japan J2 League,2023-04-02,02:00:00,7,Montedio Yamagata,Mito Hollyhock,2.21,3.25,3.2,1.07,7.5,1.36,3.0,1.95,1.75,3.75,1.25,7.0,1.08,1.91,1.8
Japan J2 League,2023-04-02,02:00:00,7,Tochigi,ThespaKusatsu Gunma,2.21,3.05,3.45,1.12,5.5,1.6,2.25,2.6,1.44,5.5,1.12,11.0,1.03,2.38,1.53
Japan J2 League,2023-04-02,02:00:00,7,Machida Zelvia,Fujieda MYFC,1.9,3.35,4.1,1.08,6.5,1.33,3.0,2.21,1.7,3.9,1.2,6.8,1.07,2.0,1.73
Japan J2 League,2023-04-02,02:00:00,7,Zweigen Kanazawa,JEF United,3.15,3.1,2.33,1.07,6.5,1.42,2.6,2.3,1.55,4.3,1.18,8.0,1.05,2.1,1.67
Japan J2 League,2023-04-02,02:00:00,7,Fagiano Okayama,Iwaki,3.25,3.15,2.25,1.04,7.5,1.37,2.79,1.95,1.75,3.95,1.2,7.7,1.04,1.91,1.8
South Korea K League 2,2023-04-02,04:00:00,5,Busan I'Park,Seoul E-Land,2.5,3.0,2.62,1.04,7.6,1.36,2.79,1.9,1.8,3.74,1.21,7.5,1.04,1.85,1.9
South Korea K League 1,2023-04-02,04:30:00,5,Suwon Bluewings,Gangwon,2.15,3.35,3.5,1.05,7.5,1.4,2.7,2.3,1.55,4.4,1.18,7.5,1.06,2.0,1.73
South Korea K League 2,2023-04-02,06:30:00,5,Cheonan City,Jeonnam Dragons,3.4,3.3,2.15,1.06,7.0,1.35,2.9,2.15,1.67,3.85,1.17,7.0,1.03,1.87,1.87
Portugal LigaPro,2023-04-02,07:00:00,26,Leixões,Academico Viseu,2.8,3.4,2.55,1.03,8.2,1.32,3.02,2.06,1.78,3.54,1.24,6.8,1.06,1.83,1.83
Portugal LigaPro,2023-04-02,07:00:00,26,Belenenses,Torreense,2.95,3.25,2.48,1.07,6.8,1.33,3.0,2.16,1.7,3.5,1.25,6.2,1.08,1.83,1.83
Ukraine Ukrainian Premier League,2023-04-02,07:00:00,19,Lviv,Dynamo Kyiv,9.0,4.0,1.35,1.05,10.0,1.27,3.4,2.0,1.78,3.0,1.33,5.75,1.12,2.1,1.62
Netherlands Eredivisie,2023-04-02,07:15:00,27,Go Ahead Eagles,Ajax,7.5,5.0,1.33,1.02,19.0,1.13,4.75,1.53,2.35,2.3,1.57,3.82,1.21,1.8,1.95
Netherlands Eerste Divisie,2023-04-02,07:15:00,31,Den Bosch,Willem II,0.0,4.75,1.44,1.02,19.0,1.18,5.0,1.57,2.4,2.45,1.55,4.2,1.22,1.73,2.0
Poland Ekstraklasa,2023-04-02,07:30:00,26,Wisła Płock,Radomiak Radom,2.63,3.2,2.6,1.05,9.25,1.28,3.3,2.0,1.85,3.1,1.32,5.75,1.11,1.75,2.0
Italy Serie A,2023-04-02,07:30:00,28,Bologna,Udinese,2.3,3.2,3.1,1.07,8.0,1.35,3.0,2.1,1.7,3.6,1.26,7.0,1.09,1.8,1.95
Turkey Süper Lig,2023-04-02,07:30:00,27,Ümraniyespor,Konyaspor,2.9,3.5,2.28,1.04,14.0,1.22,4.4,1.83,1.95,2.88,1.43,5.6,1.16,1.57,2.33
Romania Liga I,2023-04-02,07:30:00,2,Argeș,Voluntari,2.95,3.0,2.46,1.06,6.5,1.54,2.43,2.4,1.5,4.5,1.17,9.2,1.02,2.1,1.67
Scotland Premiership,2023-04-02,08:00:00,30,Ross County,Celtic,15.0,7.0,1.14,1.01,19.5,1.11,6.0,1.4,2.75,2.03,1.83,3.0,1.33,2.05,1.7
France Ligue 1,2023-04-02,08:00:00,29,Lille,Lorient,1.36,5.0,7.5,1.03,14.0,1.19,5.2,1.55,2.4,2.3,1.62,4.4,1.24,1.8,1.95
Ukraine Ukrainian Premier League,2023-04-02,08:00:00,19,Metalist 1925 Kharkiv,Dnipro-1,3.7,3.4,1.8,1.05,9.5,1.28,3.3,1.91,1.89,3.1,1.32,5.75,1.11,1.93,1.75
Denmark 1st Division,2023-04-02,08:00:00,0,Næstved,Hvidovre,3.8,3.5,2.0,1.0,10.25,1.25,3.58,1.8,2.0,2.82,1.36,5.1,1.12,1.67,2.1
Denmark 1st Division,2023-04-02,08:00:00,1,HB Køge,Hobro,2.3,3.5,3.0,1.03,12.0,1.29,3.6,1.8,2.0,3.1,1.37,5.75,1.12,1.67,2.1
Germany 2. Bundesliga,2023-04-02,08:30:00,26,Paderborn,Greuther Fürth,2.0,3.5,3.6,1.0,10.25,1.22,3.72,1.85,2.0,2.82,1.36,5.1,1.11,1.62,2.2
Germany 2. Bundesliga,2023-04-02,08:30:00,26,Holstein Kiel,Arminia Bielefeld,2.0,3.5,3.6,1.04,10.5,1.23,3.75,1.7,2.0,2.7,1.4,5.0,1.15,1.62,2.2
Germany 2. Bundesliga,2023-04-02,08:30:00,26,Magdeburg,Hansa Rostock,2.1,3.4,3.4,1.04,10.5,1.23,3.8,1.75,1.95,2.7,1.4,5.0,1.15,1.62,2.2
Belgium Pro League,2023-04-02,08:30:00,31,KRC Genk,OH Leuven,1.5,4.0,5.5,1.03,13.5,1.17,4.5,1.55,2.3,2.38,1.58,3.9,1.22,1.67,2.1
Spain Segunda División,2023-04-02,09:00:00,34,SD Huesca,Deportivo Alavés,2.7,2.8,2.63,1.1,5.7,1.53,2.25,2.4,1.5,5.0,1.13,9.7,1.01,2.2,1.62
