League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Spain La Liga,2023-04-02,09:00:00,27,Celta de Vigo,Almería,1.62,4.1,5.4,1.02,13.0,1.26,4.0,1.82,2.0,2.95,1.42,5.8,1.16,1.91,1.91
Ukraine Ukrainian Premier League,2023-04-02,09:00:00,19,Zorya,Rukh Vynnyky,1.47,4.0,5.3,1.04,11.5,1.22,3.9,1.68,2.06,2.65,1.41,4.75,1.16,1.77,1.93
Ukraine Ukrainian Premier League,2023-04-02,09:00:00,19,Chornomorets,Shakhtar Donetsk,6.0,4.5,1.37,1.03,11.0,1.2,4.2,1.49,2.44,2.7,1.45,4.33,1.18,1.9,1.8
Denmark Superliga,2023-04-02,09:00:00,1,Lyngby,Silkeborg,3.1,3.6,2.15,1.03,12.0,1.26,3.9,1.85,2.0,3.25,1.34,6.25,1.12,1.7,2.05
Denmark Superliga,2023-04-02,09:00:00,1,Horsens,AaB,2.45,3.4,2.75,1.05,9.9,1.33,3.3,2.03,1.83,3.3,1.29,6.0,1.09,1.8,1.95
Switzerland Super League,2023-04-02,09:15:00,26,Grasshopper,Lugano,2.55,3.25,2.5,1.05,9.5,1.27,3.4,1.9,1.95,3.0,1.33,5.75,1.12,1.67,2.1
Hungary NB I,2023-04-02,09:15:00,25,Kecskeméti TE,Mezőkövesd-Zsóry,2.02,3.55,3.3,0.0,0.0,0.0,0.0,1.92,1.86,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2023-04-02,09:30:00,27,Utrecht,Volendam,1.4,4.75,6.5,1.01,23.0,1.12,5.78,1.5,2.4,2.2,1.61,3.67,1.26,1.67,2.1
Netherlands Eredivisie,2023-04-02,09:30:00,27,Sparta Rotterdam,Feyenoord,5.0,3.75,1.62,1.04,12.0,1.24,3.92,1.75,1.95,2.29,1.55,5.38,1.14,1.7,2.05
Tunisia Ligue 1,2023-04-02,09:30:00,4,Métlaoui,EO Sidi Bouzid,2.15,2.6,3.7,1.17,4.97,1.8,1.9,3.27,1.27,6.85,1.07,11.0,1.01,2.75,1.42
Tunisia Ligue 1,2023-04-02,09:30:00,4,Hammam-Sousse,Stade Tunisien,3.0,2.75,2.55,1.1,5.0,1.65,2.2,2.9,1.36,5.75,1.08,0.0,0.0,2.2,1.6
Austria Bundesliga,2023-04-02,09:30:00,1,Austria Wien,LASK Linz,2.6,3.3,2.6,0.0,0.0,0.0,0.0,1.81,2.07,0.0,0.0,0.0,0.0,0.0,0.0
Austria Bundesliga,2023-04-02,09:30:00,1,Austria Klagenfurt,Salzburg,6.2,4.8,1.43,0.0,0.0,0.0,0.0,1.45,2.55,2.25,1.57,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-04-02,10:00:00,26,Cracovia Kraków,Widzew Łódź,2.3,3.0,2.9,1.07,8.0,1.38,3.05,2.15,1.62,3.9,1.2,8.5,1.05,1.95,1.8
Croatia Prva HNL,2023-04-02,10:00:00,27,Rijeka,Osijek,1.91,3.2,3.8,1.07,7.75,1.35,2.95,2.08,1.73,3.6,1.25,7.0,1.08,1.83,1.83
France Ligue 1,2023-04-02,10:00:00,29,Angers SCO,Nice,6.0,3.75,1.57,1.05,10.0,1.35,3.35,2.1,1.7,3.75,1.3,8.0,1.08,2.2,1.62
France Ligue 1,2023-04-02,10:00:00,29,Clermont,Ajaccio,2.1,3.2,3.6,1.1,7.0,1.5,2.5,2.55,1.5,5.2,1.19,12.5,1.03,2.1,1.67
France Ligue 1,2023-04-02,10:00:00,29,Nantes,Reims,2.75,3.3,2.5,1.05,10.0,1.34,3.45,2.05,1.75,3.55,1.32,7.5,1.09,1.8,1.95
France Ligue 1,2023-04-02,10:00:00,29,Brest,Toulouse,2.7,3.4,2.5,1.02,13.0,1.27,4.0,1.89,2.01,3.0,1.41,5.8,1.13,1.67,2.1
Italy Serie A,2023-04-02,10:00:00,28,Monza,Lazio,3.4,3.3,2.15,1.07,7.5,1.38,2.8,2.25,1.62,3.8,1.25,8.0,1.06,1.95,1.8
Italy Serie A,2023-04-02,10:00:00,28,Spezia,Salernitana,2.1,3.3,3.5,1.07,8.0,1.35,2.95,2.06,1.84,3.6,1.26,7.25,1.09,1.91,1.91
England Premier League,2023-04-02,10:00:00,29,West Ham United,Southampton,1.78,3.65,4.7,1.05,10.0,1.35,3.3,2.0,1.82,3.7,1.28,8.0,1.1,1.95,1.8
Portugal LigaPro,2023-04-02,10:00:00,26,Sporting Covilhã,Estrela Amadora,3.1,3.4,2.3,1.07,7.0,1.3,3.2,2.09,1.75,3.3,1.28,5.7,1.1,1.83,1.83
Turkey Süper Lig,2023-04-02,10:00:00,27,Giresunspor,Alanyaspor,2.45,3.55,2.65,1.04,11.0,1.22,3.9,1.65,2.1,2.65,1.42,4.75,1.16,1.58,2.2
Sweden Allsvenskan,2023-04-02,10:00:00,1,Hammarby,Degerfors,1.18,5.5,10.0,1.01,18.0,1.16,5.4,1.52,2.36,2.29,1.55,4.5,1.21,1.95,1.8
Sweden Allsvenskan,2023-04-02,10:00:00,1,Norrköping,Sirius,1.68,3.55,3.95,1.04,13.0,1.21,4.35,1.69,2.04,2.8,1.44,5.4,1.15,1.67,2.1
Uruguay Primera División,2023-04-02,10:00:00,9,Cerro,La Luz,2.2,3.2,3.1,1.05,8.0,1.33,3.0,2.1,1.7,3.4,1.29,6.0,1.09,1.8,1.91
Germany Bundesliga,2023-04-02,10:30:00,26,Köln,Borussia M'gladbach,2.12,3.6,3.3,1.02,12.0,1.22,4.0,1.7,2.1,2.75,1.42,5.3,1.19,1.62,2.2
Serbia SuperLiga,2023-04-02,11:00:00,28,Radnik Surdulica,Bačka Topola,4.2,3.4,1.75,1.02,10.5,1.31,3.35,2.0,1.8,3.38,1.31,6.5,1.09,1.83,1.83
Belgium Pro League,2023-04-02,11:00:00,31,AS Eupen,RSC Anderlecht,3.8,3.6,1.8,1.03,13.0,1.2,3.92,1.65,2.1,2.68,1.4,4.8,1.13,1.67,2.1
Czech Republic First League,2023-04-02,11:00:00,25,Teplice,Hradec Králové,2.5,3.4,2.38,1.01,9.8,1.24,3.55,1.88,1.98,2.96,1.33,5.45,1.1,1.7,2.05
Czech Republic First League,2023-04-02,11:00:00,25,Sparta Praha,Zbrojovka Brno,1.2,5.5,10.0,1.02,18.5,1.14,5.5,1.4,2.75,2.02,1.75,3.55,1.3,1.95,1.8
Czech Republic First League,2023-04-02,11:00:00,25,Jablonec,Pardubice,1.67,3.75,4.0,1.04,14.5,1.18,4.15,1.8,2.05,2.57,1.43,4.5,1.15,1.75,2.0
Denmark Superliga,2023-04-02,11:00:00,1,Brøndby,Viborg,1.95,3.6,3.75,1.02,9.5,1.27,3.7,1.85,2.0,3.15,1.35,5.7,1.1,1.75,2.0
Spain Segunda División,2023-04-02,11:15:00,34,CD Lugo,SD Ponferradina,2.6,2.75,2.75,1.08,6.2,1.53,2.25,2.55,1.45,5.2,1.12,9.8,1.01,2.1,1.67
Spain La Liga,2023-04-02,11:15:00,27,Real Madrid,Real Valladolid,1.2,7.0,13.0,1.01,29.0,1.1,7.0,1.45,2.7,2.1,1.67,3.1,1.38,1.95,1.8
Italy Serie B,2023-04-02,11:15:00,31,Modena,Cittadella,2.13,3.25,3.45,1.08,7.0,1.41,2.65,2.25,1.57,4.1,1.2,8.5,1.06,2.0,1.75
Switzerland Super League,2023-04-02,11:30:00,26,Luzern,Sion,1.8,3.6,3.75,1.01,16.75,1.21,4.52,1.7,2.0,2.6,1.5,4.67,1.2,1.67,2.1
Switzerland Super League,2023-04-02,11:30:00,26,St. Gallen,Zürich,2.2,3.5,2.9,1.03,12.5,1.18,4.4,1.57,2.25,2.24,1.58,4.0,1.21,1.5,2.5
Portugal Liga NOS,2023-04-02,11:30:00,26,CS Marítimo,Boavista FC,2.65,3.2,2.8,1.06,7.5,1.41,2.8,2.2,1.6,4.35,1.19,9.5,1.04,1.95,1.8
Portugal Liga NOS,2023-04-02,11:30:00,26,GD Chaves,Sporting Braga,4.5,3.8,1.76,1.03,10.5,1.89,1.91,1.89,1.92,1.92,1.88,6.0,1.09,1.91,1.91
Portugal LigaPro,2023-04-02,11:30:00,26,Vilafranquense,CD Nacional,2.03,3.45,3.75,1.04,8.0,1.3,3.2,2.12,1.73,3.5,1.25,5.7,1.1,1.83,1.83
Hungary NB I,2023-04-02,11:30:00,25,Ferencváros,Videoton,1.37,4.7,7.2,0.0,0.0,0.0,0.0,1.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2023-04-02,11:45:00,27,Fortuna Sittard,Groningen,2.1,3.4,3.3,1.05,10.0,1.25,3.6,1.88,1.98,2.85,1.37,5.25,1.14,1.7,2.05
Greece Super League,2023-04-02,12:00:00,2,Panathinaikos,Volos NFC,1.17,6.6,17.0,1.02,12.0,1.22,4.1,1.75,1.95,2.8,1.37,6.0,1.12,3.0,1.36
Austria Bundesliga,2023-04-02,12:00:00,1,Sturm Graz,Rapid Wien,1.84,3.55,4.0,0.0,0.0,0.0,0.0,1.97,1.91,0.0,0.0,0.0,0.0,0.0,0.0
France Ligue 1,2023-04-02,12:05:00,29,Monaco,Strasbourg,1.44,4.5,6.5,1.04,11.0,1.23,3.8,1.8,2.0,2.75,1.41,5.0,1.16,1.8,1.95
Poland Ekstraklasa,2023-04-02,12:30:00,26,Lech Poznań,Pogoń Szczecin,2.0,3.25,3.5,1.06,9.0,1.3,3.25,1.93,1.93,3.2,1.3,6.25,1.1,1.8,1.95
Slovenia PrvaLiga,2023-04-02,12:30:00,29,Olimpija,Tabor Sežana,1.33,4.2,9.0,1.0,11.0,1.21,3.74,1.54,2.16,2.75,1.37,5.0,1.12,1.9,1.75
Germany Bundesliga,2023-04-02,12:30:00,26,Werder Bremen,Hoffenheim,2.32,3.6,2.95,1.04,11.0,1.23,3.8,1.7,2.1,2.75,1.41,5.0,1.15,1.62,2.2
England Premier League,2023-04-02,12:30:00,29,Newcastle United,Manchester United,2.46,3.35,2.9,1.03,11.5,1.26,3.8,1.89,1.92,3.2,1.35,6.5,1.11,1.7,2.05
Sweden Allsvenskan,2023-04-02,12:30:00,1,IFK Göteborg,Värnamo,1.66,3.55,4.1,1.04,12.0,1.28,3.75,1.72,2.0,3.2,1.36,6.0,1.13,1.8,1.95
Sweden Allsvenskan,2023-04-02,12:30:00,1,Halmstad,AIK,3.3,3.1,1.99,1.05,8.0,1.33,3.0,2.07,1.67,3.3,1.29,6.0,1.09,1.8,1.95
Uruguay Segunda División,2023-04-02,12:30:00,5,Progreso,Sud América,2.08,2.97,3.37,1.08,6.5,1.4,2.7,2.25,1.6,3.8,1.22,7.5,1.06,1.91,1.8
Slovakia Super Liga,2023-04-02,12:30:00,3,Spartak Trnava,Slovan Bratislava,2.2,3.1,3.0,1.04,8.5,1.29,3.4,1.85,1.93,3.0,1.33,5.5,1.11,1.65,2.1
Croatia Prva HNL,2023-04-02,13:00:00,27,Lokomotiva Zagreb,Varaždin,1.83,3.3,3.8,1.02,9.5,1.2,3.9,1.8,2.0,2.65,1.42,5.0,1.13,1.67,2.1
Serbia SuperLiga,2023-04-02,13:00:00,28,Radnički Niš,Čukarički,4.0,3.2,1.91,1.07,9.2,1.37,3.03,2.1,1.65,3.82,1.25,7.5,1.08,1.91,1.8
Italy Serie A,2023-04-02,13:00:00,28,Roma,Sampdoria,1.44,4.0,8.0,1.06,10.75,1.35,3.25,2.05,1.75,3.65,1.29,7.2,1.1,2.25,1.57
Turkey Süper Lig,2023-04-02,13:00:00,27,Hatayspor,Sivasspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2023-04-02,13:00:00,27,Gazişehir Gaziantep,Kasımpaşa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark Superliga,2023-04-02,13:00:00,1,København,Nordsjælland,1.9,3.75,3.75,1.01,10.25,1.24,3.72,1.75,1.95,2.89,1.37,5.2,1.11,1.75,2.0
Belgium Pro League,2023-04-02,13:30:00,31,KV Mechelen,Club Brugge,3.5,3.5,1.91,1.04,15.0,1.21,4.5,1.7,2.0,2.8,1.44,5.4,1.16,1.57,2.25
Spain Segunda División,2023-04-02,13:30:00,34,FC Andorra,Málaga CF,1.85,3.2,4.75,1.09,7.0,1.49,2.55,2.15,1.62,4.75,1.18,8.25,1.05,2.0,1.7
Spain Segunda División,2023-04-02,13:30:00,34,Sporting Gijón,Granada CF,3.4,3.0,2.25,1.09,6.0,1.53,2.25,2.4,1.5,4.5,1.17,9.75,1.05,2.1,1.65
Spain La Liga,2023-04-02,13:30:00,27,Villarreal,Real Sociedad,2.38,3.25,3.15,1.08,9.0,1.38,3.1,2.2,1.65,4.0,1.27,8.5,1.08,1.91,1.91
Greece Super League,2023-04-02,13:30:00,2,PAOK,AEK Athens,2.55,3.05,2.8,1.09,7.0,1.44,2.4,2.4,1.5,5.1,1.16,11.5,1.04,2.05,1.7
Czech Republic First League,2023-04-02,14:00:00,25,Bohemians 1905,Slovácko,2.4,3.5,2.4,1.05,9.75,1.27,3.4,1.85,2.0,3.0,1.33,5.75,1.12,1.7,2.05
Portugal Liga NOS,2023-04-02,14:00:00,26,Rio Ave FC,Benfica,7.8,4.5,1.43,1.04,11.0,1.23,3.75,1.83,1.99,2.7,1.4,4.8,1.15,2.0,1.75
Hungary NB I,2023-04-02,14:00:00,25,Debrecen,Vasas,2.01,3.5,3.4,0.0,0.0,0.0,0.0,1.91,1.83,0.0,0.0,0.0,0.0,0.0,0.0
Belgium Pro League,2023-04-02,14:15:00,31,Union Saint-Gilloise,Sint-Truiden,1.44,4.33,6.0,1.03,11.0,1.27,3.6,1.9,1.95,3.1,1.35,5.5,1.13,2.0,1.75
Turkey Süper Lig,2023-04-02,14:30:00,27,Fenerbahçe,Beşiktaş,1.85,3.7,3.8,1.04,15.0,1.21,4.22,1.62,2.11,2.74,1.43,5.17,1.15,1.6,2.25
Slovakia Super Liga,2023-04-02,14:30:00,3,DAC,Žilina,1.5,3.8,5.5,1.01,9.9,1.16,4.35,1.62,2.15,2.42,1.47,4.2,1.17,1.75,2.0
Argentina Prim B Nacional,2023-04-02,14:40:00,8,Deportivo Riestra,Independiente Rivadavia,2.05,3.13,3.5,1.07,6.5,1.35,2.9,2.3,1.6,3.9,1.18,7.0,1.03,1.85,1.85
Mexico Liga MX,2023-04-02,15:00:00,13,Toluca,Tigres UANL,2.43,3.25,2.69,1.05,8.0,1.23,4.0,1.8,1.9,2.8,1.37,5.25,1.13,1.67,2.1
Peru Primera División,2023-04-02,15:00:00,10,Unión Comercio,Alianza Atlético,2.25,3.2,3.0,1.07,8.9,1.4,2.75,2.1,1.7,3.98,1.21,7.35,1.06,2.0,1.75
Greece Super League,2023-04-02,15:00:00,2,Olympiakos Piraeus,Aris,1.26,5.0,13.0,1.06,9.0,1.33,3.0,2.2,1.6,3.5,1.26,6.75,1.09,3.0,1.36
Romania Liga I,2023-04-02,15:00:00,2,CS U Craiova,CFR Cluj,2.6,3.05,2.7,1.09,6.0,1.49,2.44,2.3,1.55,4.0,1.2,8.0,1.05,1.95,1.75
Slovenia PrvaLiga,2023-04-02,15:15:00,29,Domžale,Mura,2.15,3.4,3.0,1.02,8.6,1.3,3.08,1.93,1.88,3.28,1.27,6.45,1.07,1.76,1.95
Argentina Prim B Nacional,2023-04-02,15:30:00,9,San Telmo,Almagro,2.8,2.75,2.7,1.11,6.25,1.57,2.3,2.85,1.37,5.5,1.13,14.0,1.03,2.22,1.64
France Ligue 1,2023-04-02,15:45:00,29,PSG,Olympique Lyonnais,1.4,4.5,7.5,1.02,15.0,1.16,4.8,1.5,2.55,2.25,1.57,3.7,1.24,1.67,2.1
Italy Serie A,2023-04-02,15:45:00,28,Napoli,AC Milan,1.75,3.5,4.75,1.06,10.0,1.35,3.25,1.93,1.97,3.75,1.28,7.5,1.09,1.91,1.91
Spain Segunda División,2023-04-02,16:00:00,34,Mirandés,UD Ibiza,1.8,3.3,4.5,1.05,7.5,1.42,2.9,2.1,1.65,4.3,1.22,8.0,1.04,1.83,1.83
Spain La Liga,2023-04-02,16:00:00,27,Atlético Madrid,Real Betis,1.63,3.95,5.4,1.04,11.0,1.32,3.6,1.93,1.88,3.45,1.34,7.0,1.1,2.0,1.75
Egypt Egyptian Premier League,2023-04-02,16:00:00,23,National Bank of Egypt,Al Masry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera B,2023-04-02,16:00:00,10,Leones,Real Santander,1.95,3.25,3.65,1.04,7.6,1.36,2.79,2.38,1.54,3.88,1.2,7.6,1.04,1.91,1.76
Bolivia LFPB,2023-04-02,16:00:00,7,Club Always Ready,Universitario de Vinto,1.3,5.25,9.0,1.05,10.75,1.24,3.8,1.57,2.25,2.84,1.39,5.15,1.14,2.13,1.64
Ecuador Primera Categoría Serie A,2023-04-02,16:00:00,4,Técnico Universitario,Deportivo Cuenca,2.0,3.3,3.9,1.07,9.0,1.33,3.24,1.95,1.8,3.74,1.25,8.0,1.08,1.83,1.83
Uruguay Primera División,2023-04-02,16:00:00,9,Boston River,Wanderers,2.3,3.2,3.0,1.06,8.5,1.32,3.1,2.1,1.7,3.3,1.28,6.5,1.09,1.75,1.93
Uruguay Segunda División,2023-04-02,16:00:00,5,Uruguay Montevideo FC,Albion,2.15,3.2,3.01,0.0,0.0,1.37,2.85,2.11,1.65,3.75,1.23,0.0,0.0,1.88,1.8
Portugal Liga NOS,2023-04-02,16:30:00,26,Porto,Portimonense,1.17,7.4,18.0,1.01,17.0,1.16,5.4,1.55,2.3,2.25,1.57,3.5,1.28,2.63,1.44
Argentina Primera División,2023-04-02,16:30:00,9,Instituto,Talleres Córdoba,2.84,0.0,2.47,1.09,7.75,1.45,2.55,2.4,1.52,4.4,1.17,8.0,1.05,2.05,1.7
Uruguay Segunda División,2023-04-02,16:30:00,5,Atenas,Oriental,2.35,3.2,2.69,0.0,0.0,0.0,0.0,2.19,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-04-02,16:40:00,9,Deportivo Morón,Patronato,2.09,3.0,3.3,1.1,6.25,1.52,2.43,2.52,1.46,5.4,1.13,12.0,1.01,2.1,1.67
Peru Primera División,2023-04-02,17:00:00,10,Carlos Manucci,Sport Huancayo,2.19,3.05,2.95,1.04,13.0,1.23,3.7,1.97,1.85,2.83,1.38,5.1,1.13,1.62,2.15
Colombia Categoria Primera B,2023-04-02,17:00:00,10,Valledupar,Deportes Quindío,2.66,2.9,2.5,1.07,6.45,1.44,2.4,2.51,1.47,4.7,1.14,9.4,1.01,2.1,1.65
Uruguay Segunda División,2023-04-02,17:00:00,5,Tacuarembó,Bella Vista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera B,2023-04-02,17:15:00,10,Fortaleza CEIF,Barranquilla,1.7,3.5,4.05,1.05,7.1,1.41,2.6,2.3,1.5,4.25,1.17,8.4,1.03,2.15,1.62
Peru Primera División,2023-04-02,17:30:00,10,Atlético Grau,Sport Boys,1.5,3.85,5.2,1.04,13.25,1.26,3.5,1.84,1.98,3.0,1.34,5.35,1.12,1.9,1.78
Chile Primera B,2023-04-02,17:30:00,1,Rangers,Univ. Concepción,2.12,2.96,3.26,1.08,6.5,1.42,2.75,2.1,1.65,4.2,1.2,7.5,1.06,1.95,1.8
Colombia Categoria Primera A,2023-04-02,18:00:00,11,América de Cali,Jaguares de Córdoba,1.54,3.55,5.2,1.06,10.5,1.34,3.3,1.86,1.93,3.8,1.26,8.5,1.09,2.12,1.68
Venezuela Primera División,2023-04-02,18:00:00,8,UCV,Angostura,3.35,2.85,2.12,1.08,7.85,1.44,2.4,2.35,1.5,4.32,1.18,8.0,1.05,2.05,1.7
Paraguay Division Profesional,2023-04-02,18:30:00,10,Libertad,Cerro Porteño,2.06,3.22,3.12,0.0,0.0,0.0,0.0,2.1,1.65,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-04-02,18:30:00,8,Racing Córdoba,Chaco For Ever,1.85,3.1,3.91,1.07,7.6,1.48,2.55,2.4,1.5,4.42,1.14,8.2,1.01,2.2,1.62
Ecuador Primera Categoría Serie A,2023-04-02,18:30:00,4,Cumbayá,CD El Nacional,4.23,3.22,1.76,1.07,8.75,1.38,2.88,2.15,1.62,3.9,1.23,7.45,1.07,1.99,1.73
