League,N1,N2,N3
Argentina Prim B Nacional,Over15,Over15,Over15
Argentina Primera División,Under15,Over15,Under15
Australia A-League,Over15,Over15,Over15
Austria Bundesliga,Under15,Under15,Under15
Belgium Pro League,Over15,Over15,Under15
Bolivia LFPB,Under15,Under15,Under15
Brazil Serie A,Under15,Over15,Under15
Brazil Serie B,Over15,Over15,Under15
Brazil Serie C,Over15,Under15,Over15
Brazil Serie D,Over15,Under15,Under15
Bulgaria First League,Under15,Under15,Over15
Canada Canadian Premier League,Over15,Under15,Under15
Chile Primera B,Under15,Under15,Under15
Chile Primera División,Under15,Over15,Over15
Chile Segunda División,Over15,Under15,Under15
China Chinese Super League,Under15,Under15,Under15
Colombia Categoria Primera A,Over15,Under15,Over15
Colombia Categoria Primera B,Under15,Over15,Under15
Croatia Prva HNL,Over15,Under15,Over15
Czech Republic First League,Over15,Over15,Over15
Denmark 1st Division,Over15,Over15,Under15
Denmark Superliga,Over15,Over15,Under15
Ecuador Primera Categoría Serie A,Under15,Over15,Over15
Egypt Egyptian Premier League,Under15,Over15,Under15
England Championship,Under15,Over15,Over15
England EFL League One,Under15,Over15,Over15
England EFL League Two,Over15,Over15,Under15
England National League,Under15,Over15,Under15
England Premier League,Over15,Over15,Under15
Finland Veikkausliiga,Over15,Over15,Over15
France Ligue 1,Over15,Under15,Over15
France Ligue 2,Under15,Over15,Under15
Germany 2. Bundesliga,Over15,Under15,Under15
Germany Bundesliga,Under15,Over15,Over15
Greece Super League,Over15,Under15,Over15
Hungary NB I,Under15,Under15,Under15
Italy Serie A,Under15,Over15,Under15
Italy Serie B,Under15,Over15,Under15
Japan J1 League,Under15,Over15,Over15
Japan J2 League,Under15,Over15,Under15
Mexico Ascenso MX,Under15,Under15,Over15
Mexico Liga MX,Over15,Over15,Under15
Netherlands Eerste Divisie,Under15,Over15,Over15
Netherlands Eredivisie,Over15,Over15,Over15
Netherlands Tweede Divisie,Over15,Over15,Over15
Norway Eliteserien,Over15,Over15,Over15
Paraguay Division Profesional,Under15,Under15,Under15
Peru Primera División,Over15,Over15,Under15
Poland Ekstraklasa,Over15,Under15,Over15
Portugal Liga NOS,Under15,Under15,Over15
Portugal LigaPro,Over15,Over15,Under15
Republic of Ireland Premier Division,Over15,Over15,Under15
Romania Liga I,Under15,Over15,Over15
Scotland Premiership,Under15,Over15,Over15
Serbia SuperLiga,Over15,Under15,Over15
Slovakia Super Liga,Under15,Under15,Under15
Slovenia PrvaLiga,Over15,Under15,Over15
South Korea K League 1,Over15,Under15,Under15
South Korea K League 2,Over15,Under15,Over15
Spain La Liga,Under15,Under15,Over15
Spain Segunda División,Under15,Under15,Under15
Sweden Allsvenskan,Over15,Over15,Over15
Switzerland Super League,Over15,Over15,Over15
Tunisia Ligue 1,Under15,Over15,Over15
Turkey Süper Lig,Over15,Over15,Over15
USA MLS,Under15,Under15,Over15
USA USL Championship,Under15,Over15,Over15
Ukraine Ukrainian Premier League,Under15,Under15,Under15
Uruguay Primera División,Under15,Under15,Over15
Uruguay Segunda División,Over15,Over15,Over15
Venezuela Primera División,Under15,Over15,Under15
