League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Serbia SuperLiga,2023-04-04,13:00:00,29,Napredak,Mladost Lučani,1.75,3.6,4.33,0.0,0.0,0.0,0.0,1.9,1.83,0.0,0.0,0.0,0.0,0.0,0.0
England Premier League,2023-04-04,15:45:00,7,AFC Bournemouth,Brighton & Hove Albion,4.6,3.5,1.8,1.07,9.4,1.37,3.25,1.95,1.75,3.85,1.28,8.0,1.09,1.95,1.8
England Premier League,2023-04-04,15:45:00,7,Leicester City,Aston Villa,2.4,3.3,2.9,1.05,10.0,1.25,3.7,1.87,1.85,2.85,1.38,5.25,1.14,1.67,2.1
England Premier League,2023-04-04,15:45:00,7,Leeds United,Nottingham Forest,1.87,3.6,4.0,1.03,16.0,1.22,4.6,1.7,2.05,2.7,1.49,5.0,1.19,1.57,2.25
England National League,2023-04-04,15:45:00,32,Gateshead,Yeovil Town,2.0,3.3,3.4,1.05,8.0,1.28,3.5,1.8,1.83,3.3,1.3,5.2,1.12,1.75,2.0
England Premier League,2023-04-04,16:00:00,8,Chelsea,Liverpool,2.82,3.6,2.5,1.01,10.0,1.24,3.72,1.9,1.95,2.92,1.36,5.25,1.11,1.62,2.15
Egypt Egyptian Premier League,2023-04-04,16:00:00,23,Zamalek,El Geish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-04-04,16:15:00,22,Al Masry,Zamalek,2.7,2.75,2.63,1.12,5.75,1.56,2.32,2.55,1.45,5.0,1.13,11.0,1.04,2.15,1.65
Egypt Egyptian Premier League,2023-04-04,16:15:00,23,El Daklyeh FC,Pharco,2.56,2.99,3.02,1.11,6.0,1.55,2.3,2.68,1.31,5.4,1.12,12.5,1.03,2.1,1.68
Egypt Egyptian Premier League,2023-04-04,16:15:00,23,Aswan FC,Smouha SC,2.7,3.13,2.7,1.08,6.5,1.41,2.7,2.32,1.54,4.3,1.18,9.0,1.03,1.89,1.84
Bolivia LFPB,2023-04-04,20:00:00,7,Wilstermann,Nacional Potosí,2.38,3.52,2.84,1.02,8.8,1.22,3.64,1.82,1.99,2.75,1.37,5.05,1.12,1.67,2.1
Mexico Ascenso MX,2023-04-04,20:05:00,15,Tlaxcala,CA La Paz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Ascenso MX,2023-04-04,22:05:00,15,Venados,Leones Negros de la Universidad de Guadalajara,1.95,3.1,3.6,1.04,10.25,1.36,3.0,1.96,1.78,3.75,1.25,6.0,1.09,1.95,1.82
