League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Ascenso MX,2023-03-31,00:05:00,14,Tepatitlán de Morelos,Atlante,2.89,3.18,2.36,1.03,8.4,1.38,2.9,2.0,1.75,4.0,1.22,6.65,1.06,1.87,1.87
Australia A-League,2023-03-31,05:45:00,22,Western Sydney Wanderers,Adelaide United,2.12,3.7,3.25,1.03,14.0,1.19,4.35,1.62,2.15,2.45,1.48,4.25,1.2,1.57,2.25
Japan J1 League,2023-03-31,07:00:00,6,Kashiwa Reysol,Urawa Reds,3.15,3.35,2.3,1.03,8.2,1.32,3.1,1.98,1.83,3.55,1.24,6.8,1.06,1.8,1.95
Serbia SuperLiga,2023-03-31,12:00:00,28,Kolubara,Napredak,2.56,3.0,2.53,1.04,9.2,1.35,3.02,2.1,1.6,3.85,1.21,7.55,1.04,1.83,1.85
Slovakia Super Liga,2023-03-31,12:30:00,3,Zlaté Moravce,Skalica,2.2,3.3,3.1,1.07,7.5,1.3,3.2,1.99,1.76,3.4,1.3,6.5,1.1,1.8,1.91
Poland Ekstraklasa,2023-03-31,13:00:00,26,Zagłębie Lubin,Warta Poznań,2.44,3.1,2.72,1.08,7.0,1.4,2.75,2.25,1.61,4.0,1.22,7.5,1.07,1.95,1.8
Croatia Prva HNL,2023-03-31,13:00:00,27,Slaven Koprivnica,Istra 1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2023-03-31,13:30:00,26,Nürnberg,Darmstadt 98,3.15,3.4,2.13,1.07,7.5,1.33,3.25,1.88,2.0,3.5,1.29,6.5,1.1,1.83,1.83
Germany 2. Bundesliga,2023-03-31,13:30:00,26,Fortuna Düsseldorf,Hamburger SV,2.42,3.6,2.57,1.03,11.0,1.2,4.33,1.65,2.35,2.25,1.57,4.33,1.2,1.5,2.5
Denmark 1st Division,2023-03-31,13:30:00,1,Fredericia,Nykøbing,1.75,3.4,3.95,1.01,14.5,1.21,4.35,1.61,2.32,2.75,1.45,4.8,1.18,1.62,2.2
