League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Serbia SuperLiga,2023-03-31,14:00:00,28,Mladost Lučani,Novi Pazar,2.44,3.0,2.65,0.0,0.0,0.0,0.0,2.2,1.53,0.0,0.0,0.0,0.0,0.0,0.0
Denmark 1st Division,2023-03-31,14:00:00,0,FC Helsingør,Vendsyssel,2.04,3.72,3.38,1.03,12.5,1.27,3.8,1.7,1.95,3.05,1.37,5.5,1.15,1.62,2.2
Denmark Superliga,2023-03-31,14:00:00,1,OB,Midtjylland,3.05,3.3,2.16,1.04,14.75,1.17,4.3,1.73,2.12,2.6,1.42,4.7,1.15,1.57,2.25
Austria Bundesliga,2023-03-31,14:30:00,1,Hartberg,Austria Lustenau,2.13,3.5,3.05,0.0,0.0,0.0,0.0,1.86,2.02,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-03-31,15:00:00,31,ADO Den Haag,Telstar,2.13,3.37,3.1,1.06,8.0,1.3,3.4,1.78,1.95,3.25,1.33,6.0,1.11,1.73,2.0
Netherlands Eerste Divisie,2023-03-31,15:00:00,31,Heracles,Almere City,1.7,4.15,4.49,1.04,10.0,1.25,3.75,1.58,2.2,2.75,1.4,5.0,1.14,1.73,2.0
Netherlands Eerste Divisie,2023-03-31,15:00:00,31,MVV,Eindhoven,2.95,3.64,2.29,1.04,10.0,1.22,4.0,1.6,2.2,2.5,1.5,4.5,1.17,1.57,2.3
Netherlands Eerste Divisie,2023-03-31,15:00:00,31,Oss,Helmond Sport,2.62,3.38,2.69,1.06,8.0,1.3,3.4,1.85,1.96,3.25,1.33,6.0,1.11,1.73,2.0
Netherlands Eerste Divisie,2023-03-31,15:00:00,31,PEC Zwolle,Utrecht II,1.15,7.99,16.79,1.01,40.0,1.07,8.0,1.26,3.29,1.75,1.95,2.7,1.45,1.9,1.8
Netherlands Eerste Divisie,2023-03-31,15:00:00,31,VVV,NAC Breda,1.88,3.84,3.93,1.04,10.0,1.22,4.0,1.65,2.1,2.62,1.44,4.5,1.17,1.62,2.2
Argentina Prim B Nacional,2023-03-31,15:00:00,9,All Boys,San Martín San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2023-03-31,15:00:00,2,U Craiova 1948,Petrolul 52,1.8,3.2,3.95,1.09,8.3,1.48,2.61,2.4,1.54,4.68,1.18,9.15,1.05,2.2,1.62
Poland Ekstraklasa,2023-03-31,15:30:00,26,Piast Gliwice,Górnik Zabrze,1.96,3.25,3.65,1.08,7.0,1.4,2.75,2.08,1.8,4.0,1.22,7.5,1.07,2.0,1.75
Germany Bundesliga,2023-03-31,15:30:00,26,Eintracht Frankfurt,Bochum,1.57,4.0,5.2,1.0,10.5,1.22,3.92,1.8,2.0,2.77,1.4,4.95,1.12,1.8,1.95
Italy Serie B,2023-03-31,15:30:00,31,Genoa,Reggina,1.74,3.5,4.8,1.08,7.0,1.4,2.75,2.28,1.58,4.33,1.2,8.0,1.06,2.25,1.57
Belgium Pro League,2023-03-31,15:45:00,31,Zulte-Waregem,Royal Antwerp FC,3.45,3.55,1.96,1.05,9.0,1.25,3.75,1.78,2.05,2.75,1.4,5.0,1.14,1.7,2.05
England EFL League Two,2023-03-31,15:45:00,39,Stockport County,Salford City,1.74,3.3,4.1,1.08,7.0,1.36,3.0,2.08,1.68,3.75,1.25,7.0,1.08,2.0,1.73
England EFL League Two,2023-03-31,15:45:00,39,Tranmere Rovers,Harrogate Town,2.09,3.1,3.15,1.08,7.0,1.4,2.75,2.1,1.67,4.0,1.22,7.5,1.07,2.0,1.73
Republic of Ireland Premier Division,2023-03-31,15:45:00,7,Cork City,Drogheda United,2.12,3.35,3.2,1.06,8.0,1.3,3.4,1.92,1.82,3.25,1.33,6.0,1.11,1.8,1.95
Republic of Ireland Premier Division,2023-03-31,15:45:00,7,Dundalk,Shamrock Rovers,3.1,3.2,2.25,1.07,7.5,1.36,3.0,2.01,1.79,3.5,1.29,6.5,1.1,1.91,1.91
Republic of Ireland Premier Division,2023-03-31,15:45:00,7,Shelbourne,Derry City,4.2,3.25,1.87,1.1,6.5,1.5,2.43,2.08,1.75,4.33,1.2,9.0,1.05,2.2,1.62
Republic of Ireland Premier Division,2023-03-31,15:45:00,7,St Patrick's Athl.,UCD,1.23,5.8,11.0,1.03,12.5,1.19,4.05,1.86,2.02,2.57,1.43,4.55,1.14,2.25,1.57
France Ligue 1,2023-03-31,16:00:00,29,Olympique Marseille,Montpellier,1.37,4.55,6.7,1.04,10.0,1.22,4.0,1.73,2.12,2.62,1.44,4.5,1.17,1.95,1.8
Spain Segunda División,2023-03-31,16:00:00,34,Levante UD,Real Zaragoza,1.83,3.15,4.65,1.12,5.5,1.52,2.35,2.55,1.49,4.75,1.15,10.0,1.04,2.38,1.53
England Championship,2023-03-31,16:00:00,39,Burnley,Sunderland,1.67,3.7,4.35,1.01,10.0,1.23,3.64,2.03,1.85,2.88,1.35,5.25,1.11,2.1,1.67
Spain La Liga,2023-03-31,16:00:00,27,RCD Mallorca,CA Osasuna,2.17,2.91,3.65,1.14,5.0,1.68,2.2,2.86,1.39,5.5,1.12,10.0,1.04,2.5,1.5
Venezuela Primera División,2023-03-31,16:00:00,8,Estudiantes Mérida,Hermanos Colmenares,2.06,3.2,3.55,0.0,0.0,0.0,0.0,1.94,1.84,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay Primera División,2023-03-31,16:00:00,9,River Plate,Danubio,2.09,3.3,3.35,1.06,9.0,1.28,3.3,1.89,1.88,3.0,1.33,5.75,1.12,1.71,2.0
Portugal Liga NOS,2023-03-31,16:15:00,26,GD Estoril Praia,Gil Vicente,2.66,3.15,2.6,1.08,7.0,1.4,2.75,2.1,1.7,3.75,1.25,7.0,1.08,1.91,1.91
Egypt Egyptian Premier League,2023-03-31,16:15:00,22,Pharco,Aswan FC,2.23,2.75,3.45,1.11,6.5,1.5,2.47,2.52,1.46,4.95,1.16,12.0,1.04,2.0,1.74
Egypt Egyptian Premier League,2023-03-31,16:15:00,22,Ghazl El Mehalla,Al Ittihad,3.6,3.15,1.98,1.09,7.75,1.42,2.7,1.93,1.78,4.4,1.19,9.75,1.05,1.9,1.83
Peru Primera División,2023-03-31,17:00:00,10,Deportivo Municipal,Sporting Cristal,4.7,3.85,1.74,1.05,10.75,1.34,2.98,1.92,1.87,3.6,1.25,6.55,1.08,2.05,1.7
Peru Primera División,2023-03-31,17:30:00,10,ADT,César Vallejo,2.2,3.4,3.3,0.0,0.0,0.0,0.0,2.03,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela Primera División,2023-03-31,18:15:00,8,Metropolitanos,Rayo Zuliano,1.79,3.4,4.4,1.05,11.25,1.27,3.38,1.91,1.86,3.1,1.32,5.7,1.11,1.8,1.9
Argentina Primera División,2023-03-31,19:00:00,9,Rosario Central,Gimnasia La Plata,0.0,3.25,0.0,1.1,5.7,1.37,2.75,2.3,1.6,4.15,1.16,9.0,1.02,2.0,1.68
Argentina Primera División,2023-03-31,19:00:00,9,Estudiantes,Newell's Old Boys,2.1,3.1,3.75,1.09,7.5,1.47,2.7,2.4,1.55,4.75,1.18,9.5,1.05,2.05,1.72
Paraguay Division Profesional,2023-03-31,19:00:00,10,Tacuary,Nacional Asunción,3.5,3.35,2.02,0.0,0.0,0.0,0.0,2.06,1.68,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera División,2023-03-31,19:00:00,4,Ñublense,O'Higgins,2.49,3.4,2.85,1.06,8.0,1.3,3.4,1.99,1.81,3.25,1.33,6.0,1.11,1.8,1.91
Bolivia LFPB,2023-03-31,19:00:00,7,Oriente Petrolero,Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay Primera División,2023-03-31,19:00:00,9,Cerro Largo,Liverpool FC Montevideo,2.65,3.2,2.6,1.06,7.5,1.29,2.95,2.0,1.78,3.55,1.21,6.5,1.08,1.73,2.0
Argentina Prim B Nacional,2023-03-31,19:05:00,9,Almirante Brown,Gimnasia Mendoza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie A,2023-03-31,19:30:00,4,CD Universidad Católica,CSD Independiente del Valle,2.8,3.35,2.34,1.01,9.7,1.24,3.48,1.94,1.84,2.98,1.32,5.55,1.1,1.67,2.1
Mexico Ascenso MX,2023-03-31,20:00:00,14,Leones Negros de la Universidad de Guadalajara,Tlaxcala,1.91,3.3,3.75,1.08,7.0,1.33,3.1,1.96,1.78,3.5,1.28,7.0,1.08,1.83,1.9
Argentina Prim B Nacional,2023-03-31,20:00:00,9,Temperley,Agropecuario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-03-31,20:00:00,11,Deportivo Pasto,Deportivo Pereira,2.08,3.05,3.65,1.11,6.0,1.54,2.48,2.6,1.42,4.5,1.17,9.0,1.05,2.25,1.6
Venezuela Primera División,2023-03-31,20:30:00,8,Carabobo,Monagas,2.65,2.95,2.7,1.06,6.6,1.4,2.64,2.35,1.53,4.1,1.18,8.0,1.03,1.9,1.77
Argentina Prim B Nacional,2023-03-31,21:00:00,8,Gimnasia Jujuy,Villa Dálmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-31,21:00:00,9,Estudiantes Río Cuarto,Flandria,1.71,3.3,5.4,1.06,7.2,1.49,2.45,2.44,1.49,4.8,1.15,9.5,1.01,2.38,1.58
Argentina Prim B Nacional,2023-03-31,21:00:00,8,Gimnasia Jujuy,Villa Dálmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-31,21:00:00,9,Estudiantes Río Cuarto,Flandria,1.71,3.3,5.4,1.06,7.2,1.49,2.45,2.44,1.49,4.8,1.15,9.5,1.01,2.38,1.58
Argentina Primera División,2023-03-31,21:30:00,9,River Plate,Unión Santa Fe,1.38,4.6,7.2,1.01,9.75,1.25,3.75,1.88,2.02,3.1,1.32,5.0,1.13,2.1,1.63
Paraguay Division Profesional,2023-03-31,21:30:00,10,Olimpia,Guaraní,1.58,3.85,5.4,0.0,0.0,0.0,0.0,1.84,1.93,0.0,0.0,0.0,0.0,0.0,0.0
Peru Primera División,2023-03-31,21:30:00,10,Deportivo Garcilaso,Universitario,2.6,3.4,2.65,1.02,8.8,1.3,3.3,2.01,1.81,3.5,1.3,6.5,1.1,1.73,2.0
Argentina Prim B Nacional,2023-03-31,21:30:00,9,San Martín Tucumán,Guillermo Brown,1.49,3.75,7.6,1.11,6.89,1.49,2.46,2.75,1.4,5.62,1.15,9.75,1.01,2.45,1.55
USA USL Championship,2023-03-31,22:00:00,0,Tulsa Roughnecks,El Paso Locomotive,2.29,3.5,2.8,1.04,10.0,1.22,4.0,1.67,2.1,2.75,1.42,4.5,1.17,1.57,2.3
Ecuador Primera Categoría Serie A,2023-03-31,22:00:00,4,LDU Quito,Gualaceo SC,1.3,4.6,8.8,1.03,11.5,1.19,3.92,1.69,2.09,2.64,1.4,4.75,1.13,1.98,1.78
Mexico Liga MX,2023-03-31,22:05:00,13,Necaxa,Santos Laguna,2.67,3.33,2.41,1.02,10.5,1.24,4.0,1.75,1.95,2.95,1.35,5.6,1.12,1.62,2.2
Colombia Categoria Primera A,2023-03-31,22:10:00,11,Santa Fe,Boyacá Chicó,1.71,3.25,5.4,1.1,7.0,1.44,2.4,2.55,1.5,4.75,1.16,8.5,1.04,2.3,1.6
Australia A-League,2023-03-31,23:00:00,22,Wellington Phoenix,Melbourne Victory FC,2.44,3.55,2.8,1.04,15.0,1.21,4.33,1.68,2.05,2.61,1.48,4.7,1.18,1.57,2.25
