League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Ascenso MX,2023-03-29,00:05:00,14,Cimarrones de Sonora,Zacatepec Siglo XXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan J2 League,2023-03-29,07:00:00,6,Shimizu S-Pulse,ThespaKusatsu Gunma,2.15,2.87,3.2,1.09,6.5,1.44,2.4,1.91,1.83,4.75,1.16,10.5,1.04,2.05,1.72
Japan J2 League,2023-03-29,07:00:00,6,Jubilo Iwata,Tochigi,2.15,2.9,3.2,1.07,7.5,1.42,2.5,2.31,1.57,4.25,1.17,9.25,1.05,1.9,1.71
England EFL League One,2023-03-29,15:45:00,26,Cheltenham Town,Sheffield Wednesday,4.8,3.5,1.71,1.04,12.0,1.25,3.5,2.05,1.7,2.95,1.35,5.25,1.12,1.78,1.95
Colombia Categoria Primera B,2023-03-29,19:00:00,3,Barranquilla,Valledupar,2.56,3.0,2.56,1.05,7.2,1.4,2.64,2.24,1.58,4.2,1.17,8.2,1.03,2.0,1.78
Mexico Ascenso MX,2023-03-29,20:00:00,14,Durango,Correcaminos UAT,2.11,3.01,2.99,1.01,9.3,1.33,3.2,1.89,1.73,3.5,1.28,5.7,1.1,1.78,1.95
Colombia Categoria Primera A,2023-03-29,22:00:00,4,Deportes Tolima,Millonarios,2.35,3.0,2.87,1.1,6.5,1.44,2.62,2.4,1.57,4.33,1.2,8.0,1.06,2.0,1.73
Mexico Ascenso MX,2023-03-29,22:05:00,14,Cancún,Tapatío,2.82,3.07,2.17,1.08,6.5,1.35,2.9,2.09,1.61,4.0,1.22,6.2,1.08,1.83,1.9
