League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Ascenso MX,2023-04-05,00:05:00,15,Raya2,Durango,2.0,3.1,3.5,1.06,8.0,1.3,3.3,1.93,1.8,3.5,1.28,6.5,1.1,1.78,1.95
Australia A-League,2023-04-05,06:00:00,8,Melbourne City FC,Melbourne Victory FC,2.02,3.35,3.25,1.0,10.5,1.22,3.88,1.7,1.96,2.81,1.39,5.0,1.12,1.63,2.2
Serbia SuperLiga,2023-04-05,11:30:00,29,Partizan,Voždovac,1.17,6.0,15.0,1.02,16.0,1.16,4.05,1.6,2.2,2.6,1.39,4.65,1.12,2.35,1.47
Czech Republic First League,2023-04-05,12:00:00,23,Jablonec,Slovácko,2.75,3.15,2.4,1.06,7.5,1.36,2.9,2.02,1.74,3.6,1.25,6.5,1.08,1.85,1.85
Finland Veikkausliiga,2023-04-05,12:00:00,1,KuPS,Inter Turku,1.95,3.5,3.97,1.03,8.4,1.31,3.08,2.06,1.77,3.48,1.25,6.6,1.06,1.95,1.8
Finland Veikkausliiga,2023-04-05,12:00:00,1,SJK,Haka,2.15,3.2,3.25,1.06,11.5,1.3,3.58,1.95,1.85,3.27,1.34,6.3,1.12,1.75,2.0
Finland Veikkausliiga,2023-04-05,12:00:00,1,Mariehamn,Ilves,2.4,3.6,2.6,1.03,13.0,1.22,4.2,1.75,2.08,2.85,1.44,5.0,1.17,1.62,2.2
Finland Veikkausliiga,2023-04-05,12:00:00,1,VPS,Lahti,2.0,3.6,3.25,1.01,9.8,1.24,3.55,1.85,1.95,2.96,1.33,5.45,1.1,1.7,2.05
Finland Veikkausliiga,2023-04-05,12:00:00,1,KTP,Oulu,2.4,3.6,2.6,1.0,10.5,1.21,3.82,1.73,2.1,2.71,1.39,4.9,1.13,1.62,2.2
Greece Super League,2023-04-05,12:00:00,3,Volos NFC,AEK Athens,10.0,5.5,1.25,1.01,10.0,1.25,3.6,1.72,2.06,2.9,1.36,5.25,1.13,2.3,1.55
Finland Veikkausliiga,2023-04-05,12:15:00,1,HJK,Honka,1.75,3.6,4.25,1.06,9.5,1.35,3.3,2.0,1.8,3.6,1.28,7.5,1.09,1.95,1.8
