League,N1,N2,N3
Argentina Prim B Nacional,H,H,H
Argentina Primera División,H,A,A
Australia A-League,D,A,A
Austria Bundesliga,H,A,A
Belgium Pro League,A,A,A
Bolivia LFPB,D,D,D
Brazil Serie A,A,D,D
Brazil Serie B,A,H,H
Brazil Serie C,D,H,D
Brazil Serie D,H,H,H
Bulgaria First League,D,D,H
Canada Canadian Premier League,A,H,A
Chile Primera B,D,D,H
Chile Primera División,D,H,A
Chile Segunda División,A,H,H
China Chinese Super League,D,D,D
Colombia Categoria Primera A,H,A,A
Colombia Categoria Primera B,D,A,A
Croatia Prva HNL,D,D,H
Czech Republic First League,A,H,H
Denmark 1st Division,H,H,D
Denmark Superliga,D,A,A
Ecuador Primera Categoría Serie A,H,H,H
Egypt Egyptian Premier League,H,A,A
England Championship,H,A,D
England EFL League One,H,A,H
England EFL League Two,D,D,D
England National League,A,H,D
England Premier League,H,D,H
Finland Veikkausliiga,A,H,H
France Ligue 1,A,A,A
France Ligue 2,A,D,D
Germany 2. Bundesliga,A,D,D
Germany Bundesliga,H,A,H
Greece Super League,A,H,H
Hungary NB I,H,D,H
Italy Serie A,D,H,H
Italy Serie B,H,A,H
Japan J1 League,D,H,D
Japan J2 League,A,A,H
Mexico Ascenso MX,A,H,A
Mexico Liga MX,A,D,H
Netherlands Eerste Divisie,H,D,A
Netherlands Eredivisie,A,H,A
Netherlands Tweede Divisie,H,D,H
Norway Eliteserien,H,D,A
Paraguay Division Profesional,H,H,A
Peru Primera División,H,H,D
Poland Ekstraklasa,H,H,A
Portugal Liga NOS,D,A,D
Portugal LigaPro,D,H,H
Republic of Ireland Premier Division,D,H,D
Romania Liga I,D,A,A
Scotland Premiership,D,H,A
Serbia SuperLiga,D,D,A
Slovakia Super Liga,H,H,H
Slovenia PrvaLiga,A,H,H
South Korea K League 1,H,D,A
South Korea K League 2,H,H,H
Spain La Liga,H,A,H
Spain Segunda División,H,H,H
Sweden Allsvenskan,H,D,A
Switzerland Super League,H,H,D
Tunisia Ligue 1,H,H,A
Turkey Süper Lig,A,D,H
USA MLS,A,H,A
USA USL Championship,H,D,A
Ukraine Ukrainian Premier League,A,H,D
Uruguay Primera División,D,H,A
Uruguay Segunda División,A,A,H
Venezuela Primera División,D,A,D
