League,N1,N2,N3
Argentina Prim B Nacional,A,H,A
Argentina Primera División,D,D,H
Australia A-League,D,H,H
Austria Bundesliga,D,D,H
Belgium Pro League,A,A,A
Bolivia LFPB,H,D,H
Brazil Serie A,A,D,D
Brazil Serie B,A,H,H
Brazil Serie C,D,H,D
Brazil Serie D,H,H,H
Bulgaria First League,D,D,H
Canada Canadian Premier League,A,H,A
Chile Primera B,D,A,H
Chile Primera División,D,H,A
Chile Segunda División,H,H,A
China Chinese Super League,D,D,D
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,D,D,A
Croatia Prva HNL,D,H,A
Czech Republic First League,H,H,H
Denmark 1st Division,A,H,H
Denmark Superliga,D,A,A
Ecuador Primera Categoría Serie A,H,H,H
Egypt Egyptian Premier League,D,H,H
England Championship,H,D,H
England EFL League One,D,D,A
England EFL League Two,H,D,D
England National League,H,A,H
England Premier League,D,H,A
Finland Veikkausliiga,A,H,H
France Ligue 1,A,H,A
France Ligue 2,A,A,A
Germany 2. Bundesliga,A,H,H
Germany Bundesliga,D,A,D
Greece Super League,A,D,A
Hungary NB I,D,A,D
Italy Serie A,D,A,A
Italy Serie B,D,D,D
Japan J1 League,A,D,H
Japan J2 League,A,H,A
Mexico Ascenso MX,H,A,H
Mexico Liga MX,D,D,H
Netherlands Eerste Divisie,H,A,D
Netherlands Eredivisie,H,D,D
Netherlands Tweede Divisie,H,A,D
Norway Eliteserien,H,D,A
Paraguay Division Profesional,A,D,D
Peru Primera División,H,H,D
Poland Ekstraklasa,D,A,A
Portugal Liga NOS,A,H,D
Portugal LigaPro,A,D,H
Republic of Ireland Premier Division,A,A,A
Romania Liga I,H,H,A
Scotland Premiership,A,A,H
Serbia SuperLiga,A,A,D
Slovakia Super Liga,D,D,A
Slovenia PrvaLiga,D,H,H
South Korea K League 1,D,H,A
South Korea K League 2,A,H,H
Spain La Liga,D,H,D
Spain Segunda División,A,D,D
Sweden Allsvenskan,D,H,H
Switzerland Super League,D,H,D
Tunisia Ligue 1,A,A,H
Turkey Süper Lig,D,A,H
USA MLS,H,A,D
USA USL Championship,D,D,A
Ukraine Ukrainian Premier League,D,A,H
Uruguay Primera División,A,D,D
Uruguay Segunda División,H,A,H
Venezuela Primera División,D,H,D
