Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5139486,South Korea K League 1,2023,2023-02-25 02:00:00,1,Ulsan,Jeonbuk Motors,2,1,2.1,3.2,3.5,1.07,7.5,1.33,3.1,2.15,1.7,3.6,1.25,7.0,1.08,1.8,1.91
5139487,South Korea K League 1,2023,2023-02-25 04:30:00,1,FC Seoul,Incheon United,2,1,2.25,3.34,3.24,1.07,7.75,1.36,2.87,2.15,1.7,3.7,1.24,7.25,1.08,1.91,1.8
5139488,South Korea K League 1,2023,2023-02-25 04:30:00,1,Suwon Bluewings,Gwangju,0,1,2.29,3.24,3.24,1.08,7.0,1.38,2.9,2.18,1.64,4.0,1.22,8.0,1.06,1.91,1.8
5139490,South Korea K League 1,2023,2023-02-26 02:00:00,1,Jeju United,Suwon,0,0,1.75,3.6,4.5,1.04,8.0,1.32,3.1,2.15,1.61,3.7,1.22,6.5,1.08,2.0,1.73
5139489,South Korea K League 1,2023,2023-02-26 02:30:00,1,Pohang Steelers,Daegu,3,2,1.75,3.5,4.33,1.05,8.0,1.27,3.4,1.91,1.8,3.3,1.28,6.2,1.08,1.83,1.83
5139491,South Korea K League 1,2023,2023-02-26 04:30:00,1,Daejeon Citizen,Gangwon,2,0,2.63,3.1,2.63,1.05,7.5,1.35,2.95,2.16,1.66,3.8,1.22,7.0,1.07,1.83,1.83
5139492,South Korea K League 1,2023,2023-03-04 02:00:00,2,Incheon United,Daejeon Citizen,3,3,2.25,3.0,3.0,1.08,7.0,1.36,2.95,2.1,1.61,4.0,1.22,7.0,1.08,1.87,1.87
5139493,South Korea K League 1,2023,2023-03-04 02:00:00,2,Suwon,Pohang Steelers,1,2,3.1,3.2,2.05,1.06,8.0,1.3,3.3,1.83,1.8,3.5,1.28,6.0,1.11,1.75,2.0
5139494,South Korea K League 1,2023,2023-03-04 04:30:00,2,Daegu,Jeju United,1,1,2.9,3.2,2.15,1.05,9.0,1.28,3.5,1.8,1.85,3.3,1.3,5.5,1.12,1.72,2.05
5139495,South Korea K League 1,2023,2023-03-05 02:00:00,2,Jeonbuk Motors,Suwon Bluewings,1,1,1.95,3.4,3.75,1.04,8.0,1.3,3.2,2.09,1.74,3.6,1.25,6.3,1.08,2.0,1.73
5139496,South Korea K League 1,2023,2023-03-05 02:00:00,2,Gangwon,Ulsan,0,1,3.9,3.6,1.85,1.03,8.4,1.32,3.04,2.04,1.78,3.48,1.25,6.7,1.06,1.91,1.8
5139497,South Korea K League 1,2023,2023-03-05 04:30:00,2,Gwangju,FC Seoul,0,2,2.8,3.4,2.37,1.07,7.0,1.38,2.8,2.15,1.7,3.8,1.22,7.0,1.07,1.83,1.83
5139498,South Korea K League 1,2023,2023-03-11 02:00:00,3,Suwon,Suwon Bluewings,2,1,2.86,3.22,2.64,1.07,7.5,1.36,3.0,2.12,1.73,3.5,1.29,6.5,1.1,1.8,1.91
5139499,South Korea K League 1,2023,2023-03-11 02:00:00,3,Daejeon Citizen,Pohang Steelers,0,0,3.68,3.61,2.03,1.07,7.5,1.33,3.1,1.97,1.88,3.6,1.25,6.5,1.1,1.83,1.9
5139500,South Korea K League 1,2023,2023-03-11 04:30:00,3,Gangwon,Daegu,1,1,2.46,3.26,3.08,1.07,7.5,1.33,3.1,1.96,1.75,3.75,1.25,7.0,1.08,1.8,1.95
5139501,South Korea K League 1,2023,2023-03-12 02:00:00,3,FC Seoul,Ulsan,1,2,3.4,3.37,2.13,1.05,9.25,1.3,3.2,1.92,1.86,3.2,1.3,6.25,1.1,1.77,1.9
5139502,South Korea K League 1,2023,2023-03-12 04:30:00,3,Jeonbuk Motors,Gwangju,2,0,1.62,3.3,4.8,1.05,8.0,1.33,3.0,2.08,1.66,3.4,1.29,6.0,1.09,2.0,1.73
5139503,South Korea K League 1,2023,2023-03-12 04:30:00,3,Incheon United,Jeju United,1,0,2.86,3.15,2.56,1.04,8.0,1.3,3.2,2.05,1.7,3.6,1.25,6.5,1.08,1.8,1.87
5139504,South Korea K League 1,2023,2023-03-18 02:00:00,4,Pohang Steelers,Gangwon,1,1,2.0,3.25,3.65,1.06,8.75,1.31,3.2,2.0,1.75,3.25,1.29,6.25,1.1,1.8,1.9
5139505,South Korea K League 1,2023,2023-03-18 02:00:00,4,Gwangju,Incheon United,5,0,2.44,2.97,2.62,1.08,7.0,1.4,2.75,2.17,1.61,3.75,1.25,7.5,1.07,1.85,1.82
5139506,South Korea K League 1,2023,2023-03-18 04:30:00,4,Jeju United,FC Seoul,1,2,2.29,3.0,2.78,1.05,10.5,1.3,3.2,2.07,1.67,3.3,1.28,6.25,1.09,1.78,1.95
5139507,South Korea K League 1,2023,2023-03-19 02:00:00,4,Daegu,Jeonbuk Motors,2,0,3.13,3.43,2.03,1.05,9.25,1.29,3.3,1.9,1.9,3.1,1.31,6.0,1.11,1.73,2.0
5139508,South Korea K League 1,2023,2023-03-19 02:00:00,4,Suwon Bluewings,Daejeon Citizen,1,3,2.13,3.33,2.98,1.06,8.5,1.32,3.1,2.08,1.66,3.4,1.27,6.75,1.09,1.8,1.91
5139509,South Korea K League 1,2023,2023-03-19 04:30:00,4,Ulsan,Suwon,3,0,1.41,3.95,6.0,1.04,11.0,1.23,3.8,1.71,2.01,2.7,1.4,4.8,1.15,1.83,1.83
