Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5240110,Colombia Categoria Primera A,2023,2023-02-10 22:10:00,4,Jaguares de Córdoba,Atlético Bucaramanga,1,1,2.74,3.22,2.63,1.08,7.0,1.4,2.75,2.25,1.57,4.0,1.22,7.5,1.07,1.91,1.8
5240111,Colombia Categoria Primera A,2023,2023-02-11 16:00:00,4,Envigado,Independiente Medellín,2,1,3.1,2.99,2.27,1.08,7.0,1.4,2.75,2.45,1.53,4.0,1.22,7.5,1.07,1.91,1.8
5240113,Colombia Categoria Primera A,2023,2023-02-11 20:20:00,4,Once Caldas,Rionegro Águilas,1,2,2.29,2.83,3.2,1.11,5.5,1.55,2.4,2.4,1.58,4.75,1.15,8.0,1.05,2.1,1.65
5240114,Colombia Categoria Primera A,2023,2023-02-11 22:30:00,4,América de Cali,La Equidad,1,1,1.84,3.4,3.85,1.08,7.0,1.4,2.75,2.33,1.61,3.75,1.25,7.5,1.07,2.0,1.73
5240117,Colombia Categoria Primera A,2023,2023-02-12 16:00:00,4,Boyacá Chicó,Deportivo Pereira,3,1,2.07,2.83,3.55,1.1,6.25,1.5,2.48,2.43,1.55,4.75,1.16,10.0,1.05,2.15,1.62
5240116,Colombia Categoria Primera A,2023,2023-02-12 22:10:00,4,Atlético Nacional,Deportivo Cali,1,1,1.53,3.65,6.16,1.07,7.5,1.36,3.0,2.04,1.69,3.5,1.29,7.0,1.08,2.0,1.73
5240120,Colombia Categoria Primera A,2023,2023-02-14 22:00:00,4,Santa Fe,Deportivo Pasto,0,2,1.94,3.59,4.13,1.07,7.5,1.36,3.0,2.02,1.78,3.75,1.25,7.0,1.08,1.83,1.83
5240118,Colombia Categoria Primera A,2023,2023-02-15 22:00:00,1,La Equidad,Independiente Medellín,2,1,2.16,2.99,3.22,1.08,7.0,1.4,2.7,2.21,1.62,4.0,1.21,8.25,1.06,1.93,1.75
5240122,Colombia Categoria Primera A,2023,2023-02-17 22:00:00,5,Atlético Huila,Deportes Tolima,0,0,3.26,3.34,2.23,1.07,7.75,1.36,2.87,2.05,1.78,3.7,1.24,7.5,1.08,1.9,1.78
5240129,Colombia Categoria Primera A,2023,2023-02-18 16:00:00,5,Envigado,Alianza Petrolera,0,0,2.05,3.0,3.5,1.03,7.9,1.34,2.93,2.15,1.65,3.72,1.22,7.2,1.05,1.9,1.84
5240121,Colombia Categoria Primera A,2023,2023-02-18 18:10:00,5,Independiente Medellín,América de Cali,0,1,2.0,3.1,3.5,1.03,7.9,1.34,2.93,2.09,1.64,3.72,1.22,7.2,1.05,1.86,1.88
5240128,Colombia Categoria Primera A,2023,2023-02-18 20:20:00,5,Millonarios,Jaguares de Córdoba,2,1,1.57,3.6,5.5,1.01,9.4,1.26,3.4,1.99,1.71,3.08,1.31,5.75,1.09,2.11,1.68
5240130,Colombia Categoria Primera A,2023,2023-02-18 22:30:00,5,Deportivo Pasto,Junior,1,0,2.75,3.0,2.4,1.07,7.75,1.38,2.8,2.1,1.68,3.8,1.23,7.75,1.07,1.88,1.8
5240125,Colombia Categoria Primera A,2023,2023-02-19 16:00:00,5,Deportivo Pereira,Once Caldas,3,1,2.2,3.05,3.2,1.07,7.0,1.38,2.8,2.19,1.6,3.8,1.22,7.0,1.07,1.91,1.8
5240123,Colombia Categoria Primera A,2023,2023-02-19 18:10:00,5,La Equidad,Santa Fe,0,1,2.4,3.1,2.81,1.07,7.0,1.36,2.87,2.11,1.65,3.6,1.25,7.0,1.07,1.85,1.85
5240126,Colombia Categoria Primera A,2023,2023-02-19 21:30:00,5,Atlético Bucaramanga,Atlético Nacional,1,1,2.93,3.05,2.35,1.1,6.5,1.42,2.75,2.16,1.62,4.2,1.2,8.0,1.06,1.91,1.8
5240127,Colombia Categoria Primera A,2023,2023-02-20 22:05:00,5,Deportivo Cali,Rionegro Águilas,1,1,2.35,2.92,2.62,1.08,7.0,1.4,2.75,2.25,1.6,4.0,1.22,8.0,1.06,1.91,1.8
5240141,Colombia Categoria Primera A,2023,2023-02-24 22:00:00,6,Rionegro Águilas,Atlético Bucaramanga,1,0,1.75,3.3,5.25,1.08,7.0,1.42,2.75,2.38,1.57,4.5,1.2,7.0,1.08,1.93,1.77
5240135,Colombia Categoria Primera A,2023,2023-02-25 18:00:00,6,Junior,La Equidad,1,0,1.7,3.4,4.8,1.1,6.5,1.44,2.62,2.3,1.53,4.33,1.2,8.0,1.06,2.12,1.69
5240132,Colombia Categoria Primera A,2023,2023-02-25 20:10:00,6,Jaguares de Córdoba,Deportivo Pereira,2,0,2.4,3.0,2.7,1.08,7.0,1.4,2.75,2.15,1.61,4.0,1.22,7.5,1.07,1.85,1.85
5240139,Colombia Categoria Primera A,2023,2023-02-25 22:20:00,6,América de Cali,Envigado,1,0,1.51,3.94,7.2,1.07,7.0,1.38,2.8,2.18,1.68,3.8,1.22,7.0,1.07,2.4,1.57
5240140,Colombia Categoria Primera A,2023,2023-02-26 16:00:00,6,Santa Fe,Unión Magdalena,0,0,1.48,3.8,5.6,1.07,7.0,1.36,2.87,2.16,1.63,3.8,1.22,7.0,1.07,2.27,1.6
